COGNOME;NOME;DATA NASCITA (gg/mm/aaaa);LUOGO NASCITA;PROVINCIA NASCITA;DATA FINE CONTROLLO (gg/mm/aaaa);ENTE DI APPARTENENZA;RUOLO
GIORGIANNI;CARMEN LETIZIA;26/06/1977;SARTEANO ;SI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIORGIS;ANDREA;12/04/1965;TORINO;TO;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GIOVINE;SILVIO;20/12/1983;VICENZA;VI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIRELLI;GIAN ANTONIO;15/09/1962;SALO' ;BS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GIULI;ALESSANDRO;27/09/1975;ROMA;RM;31/12/2030;MINISTERO DELLA CULTURA;MINISTRO
GIULIANO;CARLA;02/04/1983;SAN SEVERO ;FG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GNASSI;ANDREA;27/03/1969;RIMINI;RN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GRAZIANO;STEFANO;13/09/1971;AVERSA ;CE;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GRIBAUDO;CHIARA;16/05/1981;CUNEO;CN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GRIMALDI;MARCO;08/11/1980;TORINO;TO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GRIPPO;VALENTINA;07/08/1971;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GRUPPIONI;NAIKE;25/01/1979;BOLOGNA;BO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GUBITOSA;MICHELE;21/12/1966;ATRIPALDA ;AV;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GUERINI;LORENZO;21/11/1966;LODI;LO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
GUERRA;MARIA CECILIA;06/12/1957;NONANTOLA ;MO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
